,rx_WF_clip
103,-10.336393440408216
104,-10.486075267717794
105,-10.635757095027358
106,-10.785438922336922
107,-10.935120749646487
108,-11.08480257695605
109,-11.234484404265615
110,-11.384166231575179
111,-11.533848058884743
112,-11.683529886194322
113,-11.833211713503886
114,-11.98289354081345
115,-12.132575368123014
116,-12.282257195432578
117,-12.431939022742142
118,-12.581620850051706
119,-12.73130267736127
120,-12.880984504670849
121,-13.030666331980413
122,-13.180348159289977
123,-13.330029986599541
124,-13.479711813909105
125,-13.62939364121867
126,-13.779075468528234
127,-13.928757295837798
128,-14.078439123147376
129,-14.22812095045694
130,-14.377802777766505
131,-14.527484605076069
132,-14.677166432385633
133,-14.826848259695197
134,-14.976530087004761
135,-15.126211914314325
136,-15.275893741623904
137,-15.425575568933468
138,-15.575257396243032
139,-15.724939223552596
140,-15.87462105086216
141,-16.024302878171724
142,-16.17398470548129
143,-16.323666532790867
144,-16.47334836010043
145,-16.623030187409995
146,-16.77271201471956
147,-16.922393842029123
148,-17.072075669338687
149,-17.22175749664825
150,-17.371439323957816
151,-17.521121151267394
152,-17.67080297857696
153,-17.820484805886522
154,-17.970166633196087
155,-18.11984846050565
156,-18.269530287815215
157,-18.41921211512478
158,-18.568893942434343
159,-18.71857576974392
160,-18.868257597053486
161,-19.01793942436305
162,-19.167621251672614
163,-19.317303078982178
164,-19.466984906291742
165,-19.616666733601306
166,-19.76634856091087
167,-19.91603038822045
168,-20.065712215530013
169,-20.215394042839577
170,-20.36507587014914
171,-20.514757697458705
172,-20.66443952476827
173,-20.814121352077834
174,-20.963803179387398
175,-21.113485006696976
176,-21.26316683400654
177,-21.412848661316104
178,-21.56253048862567
179,-21.712212315935233
180,-21.861894143244797
181,-22.01157597055436
182,-22.161257797863925
183,-22.310939625173503
184,-22.460621452483068
185,-22.61030327979263
186,-22.759985107102196
187,-22.90966693441176
188,-23.059348761721324
189,-23.20903058903089
190,-23.358712416340452
191,-23.50839424365003
192,-23.658076070959595
193,-23.80775789826916
194,-23.957439725578723
195,-24.107121552888287
196,-24.25680338019785
197,-24.406485207507416
198,-24.55616703481698
199,-24.705848862126558
200,-24.855530689436122
201,-25.005212516745686
202,-25.15489434405525
203,-25.304576171364815
204,-25.45425799867438
205,-25.603939825983943
206,-25.75362165329352
207,-25.903303480603086
208,-26.05298530791265
209,-26.202667135222214
210,-26.352348962531778
211,-26.502030789841342
212,-26.651712617150906
213,-26.80139444446047
214,-26.95107627177005
215,-27.100758099079613
216,-27.250439926389177
217,-27.40012175369874
218,-27.549803581008305
219,-27.69948540831787
220,-27.849167235627434
221,-27.998849062936998
222,-28.148530890246576
223,-28.29821271755614
224,-28.447894544865704
225,-28.59757637217527
226,-28.747258199484833
227,-28.896940026794397
228,-29.046621854103968
229,-29.196303681413532
230,-29.345985508723096
231,-29.49566733603266
232,-29.64534916334223
233,-29.795030990651796
234,-29.94471281796136
235,-30.094394645270924
236,-30.244076472580495
237,-30.39375829989006
238,-30.543440127199624
239,-30.693121954509188
240,-30.84280378181876
241,-30.992485609128323
242,-31.142167436437887
243,-31.29184926374745
244,-31.441531091057023
245,-31.591212918366587
246,-31.74089474567615
247,-31.890576572985715
248,-32.040258400295286
249,-32.18994022760485
250,-32.339622054914415
251,-32.48930388222398
252,-32.63898570953355
253,-32.788667536843114
254,-32.93834936415268
255,-33.08803119146224
256,-33.237713018771814
257,-33.38739484608138
258,-33.53707667339094
