,rx_Waveform,rx_Elevation
185,252.24821,2.2393104018386794
186,251.79648,2.0896517799022973
187,251.30594,1.9399931579659295
188,250.72441,1.7903345360295617
189,250.2826,1.640675914093194
190,250.22919,1.491017292156826
191,250.66452,1.3413586702204583
192,251.4292,1.1917000482840905
193,252.30707,1.0420414263477085
194,253.1592,0.8923828044113407
195,253.91455,0.7427241824749728
196,254.48604,0.593065560538605
197,254.80626,0.44340693860223723
198,254.78972,0.2937483166658694
199,254.58173,0.14408969472950162
200,254.52219,-0.005568927206880403
201,254.8404,-0.1552275491432482
202,255.52066,-0.304886171079616
203,256.30814,-0.45454479301598383
204,256.76187,-0.6042034149523516
205,256.5174,-0.7538620368887194
206,255.46902,-0.9035206588250873
207,253.86926,-1.0531792807614693
208,252.32103,-1.202837902697837
